booking_id,customer_id,service_id,customer_name,phone,email,payment_status,payment_id,payment_amount,payment_method,customer_rating,scheduled_date,payment_date,payment_delays
1,39,3,Elizabeth Fowler,747510799,elizabethfowler@gmail.com,COMPLETED,68.0,300.0,Transfer,3.0,2026-02-01 06:26:51,2026-06-28 00:16:19,146.0
1,39,3,Elizabeth Fowler,747510799,elizabethfowler@gmail.com,COMPLETED,68.0,300.0,Transfer,3.0,2026-02-01 06:26:51,2026-06-28 00:16:19,146.0
5,8,1,Gina Moore,741316475,ginamoore@gmail.com,COMPLETED,69.0,150.0,Cash,5.0,2026-02-12 03:08:46,2026-07-28 12:20:40,166.0
5,8,1,Gina Moore,741316475,ginamoore@gmail.com,COMPLETED,69.0,150.0,Cash,5.0,2026-02-12 03:08:46,2026-07-28 12:20:40,166.0
6,21,2,Margaret Hawkins DDS,831718227,margaretdds@gmail.com,COMPLETED,70.0,220.0,Transfer,2.0,2026-02-04 00:10:27,2026-08-02 22:39:11,179.0
6,21,2,Margaret Hawkins DDS,831718227,margaretdds@gmail.com,COMPLETED,70.0,220.0,Transfer,2.0,2026-02-04 00:10:27,2026-08-02 22:39:11,179.0
9,23,2,Ethan Adams,746578713,ethanadams@gmail.com,COMPLETED,71.0,220.0,Cash,3.0,2026-01-29 21:36:34,2026-06-23 11:38:40,144.0
9,23,2,Ethan Adams,746578713,ethanadams@gmail.com,COMPLETED,71.0,220.0,Cash,3.0,2026-01-29 21:36:34,2026-06-23 11:38:40,144.0
12,24,3,Tommy Walter,731509839,tommywalter@gmail.com,COMPLETED,5.0,300.0,Cash,5.0,2026-01-24 13:05:11,2026-01-26 13:27:17,2.0
12,24,3,Tommy Walter,731509839,tommywalter@gmail.com,COMPLETED,5.0,300.0,Cash,5.0,2026-01-24 13:05:11,2026-01-26 13:27:17,2.0
12,24,3,Tommy Walter,731509839,tommywalter@gmail.com,COMPLETED,72.0,300.0,Cash,5.0,2026-01-24 13:05:11,2026-06-30 05:01:20,156.0
12,24,3,Tommy Walter,731509839,tommywalter@gmail.com,COMPLETED,72.0,300.0,Cash,5.0,2026-01-24 13:05:11,2026-06-30 05:01:20,156.0
14,40,1,Brittany Farmer,831838425,brittanyfarmer@gmail.com,COMPLETED,73.0,150.0,Transfer,1.0,2026-01-30 13:21:11,2026-07-06 04:50:39,156.0
14,40,1,Brittany Farmer,831838425,brittanyfarmer@gmail.com,COMPLETED,73.0,150.0,Transfer,1.0,2026-01-30 13:21:11,2026-07-06 04:50:39,156.0
16,3,1,Angie Henderson,828386379,angiehenderson@gmail.com,COMPLETED,7.0,150.0,Cash,2.0,2026-02-13 01:10:00,2026-02-15 01:32:06,2.0
16,3,1,Angie Henderson,828386379,angiehenderson@gmail.com,COMPLETED,7.0,150.0,Cash,2.0,2026-02-13 01:10:00,2026-02-15 01:32:06,2.0
16,3,1,Angie Henderson,828386379,angiehenderson@gmail.com,COMPLETED,74.0,150.0,Cash,2.0,2026-02-13 01:10:00,2026-08-10 16:02:35,178.0
16,3,1,Angie Henderson,828386379,angiehenderson@gmail.com,COMPLETED,74.0,150.0,Cash,2.0,2026-02-13 01:10:00,2026-08-10 16:02:35,178.0
17,22,3,Patty Perez,724896383,pattyperez@gmail.com,COMPLETED,75.0,300.0,Transfer,2.0,2026-03-11 12:35:26,2026-07-31 03:45:08,141.0
17,22,3,Patty Perez,724896383,pattyperez@gmail.com,COMPLETED,75.0,300.0,Transfer,2.0,2026-03-11 12:35:26,2026-07-31 03:45:08,141.0
18,2,1,Noah Rhodes,839600133,noahrhodes@gmail.com,COMPLETED,9.0,150.0,Cash,2.0,2026-03-20 21:49:58,2026-03-22 22:12:04,2.0
18,2,1,Noah Rhodes,839600133,noahrhodes@gmail.com,COMPLETED,9.0,150.0,Cash,2.0,2026-03-20 21:49:58,2026-03-22 22:12:04,2.0
18,2,1,Noah Rhodes,839600133,noahrhodes@gmail.com,COMPLETED,76.0,150.0,Cash,2.0,2026-03-20 21:49:58,2026-07-03 05:03:19,104.0
18,2,1,Noah Rhodes,839600133,noahrhodes@gmail.com,COMPLETED,76.0,150.0,Cash,2.0,2026-03-20 21:49:58,2026-07-03 05:03:19,104.0
19,24,2,Tommy Walter,731509839,tommywalter@gmail.com,COMPLETED,77.0,220.0,Cash,3.0,2026-01-24 00:51:38,2026-07-28 13:27:44,185.0
19,24,2,Tommy Walter,731509839,tommywalter@gmail.com,COMPLETED,77.0,220.0,Cash,3.0,2026-01-24 00:51:38,2026-07-28 13:27:44,185.0
21,30,2,Anthony Rodriguez,782473178,anthonyrodriguez@gmail.com,COMPLETED,78.0,220.0,Card,5.0,2026-02-09 18:21:10,2026-07-15 15:27:51,155.0
21,30,2,Anthony Rodriguez,782473178,anthonyrodriguez@gmail.com,COMPLETED,78.0,220.0,Card,5.0,2026-02-09 18:21:10,2026-07-15 15:27:51,155.0
22,38,3,Cassandra Gaines,764353462,cassandragaines@gmail.com,COMPLETED,79.0,300.0,Card,5.0,2026-03-15 08:49:59,2026-08-01 12:24:30,139.0
22,38,3,Cassandra Gaines,764353462,cassandragaines@gmail.com,COMPLETED,79.0,300.0,Card,5.0,2026-03-15 08:49:59,2026-08-01 12:24:30,139.0
24,21,1,Margaret Hawkins DDS,831718227,margaretdds@gmail.com,COMPLETED,13.0,150.0,Transfer,1.0,2026-02-11 20:41:28,2026-02-13 21:03:34,2.0
24,21,1,Margaret Hawkins DDS,831718227,margaretdds@gmail.com,COMPLETED,13.0,150.0,Transfer,1.0,2026-02-11 20:41:28,2026-02-13 21:03:34,2.0
24,21,1,Margaret Hawkins DDS,831718227,margaretdds@gmail.com,COMPLETED,80.0,150.0,Transfer,1.0,2026-02-11 20:41:28,2026-06-26 22:03:59,135.0
24,21,1,Margaret Hawkins DDS,831718227,margaretdds@gmail.com,COMPLETED,80.0,150.0,Transfer,1.0,2026-02-11 20:41:28,2026-06-26 22:03:59,135.0
31,27,2,Justin Baker,793763116,justinbaker@gmail.com,COMPLETED,81.0,220.0,Card,1.0,2026-02-23 11:52:07,2026-06-26 15:43:29,123.0
31,27,2,Justin Baker,793763116,justinbaker@gmail.com,COMPLETED,81.0,220.0,Card,1.0,2026-02-23 11:52:07,2026-06-26 15:43:29,123.0
33,28,3,Stephanie Ross,766670106,stephanieross@gmail.com,COMPLETED,82.0,300.0,Transfer,2.0,2026-02-05 13:19:15,2026-07-03 17:56:23,148.0
33,28,3,Stephanie Ross,766670106,stephanieross@gmail.com,COMPLETED,82.0,300.0,Transfer,2.0,2026-02-05 13:19:15,2026-07-03 17:56:23,148.0
38,3,2,Angie Henderson,828386379,angiehenderson@gmail.com,COMPLETED,83.0,220.0,Card,1.0,2026-02-27 08:19:20,2026-07-26 12:53:54,149.0
38,3,2,Angie Henderson,828386379,angiehenderson@gmail.com,COMPLETED,83.0,220.0,Card,1.0,2026-02-27 08:19:20,2026-07-26 12:53:54,149.0
39,37,1,Sherri Baker,739909169,sherribaker@gmail.com,COMPLETED,84.0,150.0,Cash,3.0,2026-01-30 20:23:34,2026-06-24 07:02:14,144.0
39,37,1,Sherri Baker,739909169,sherribaker@gmail.com,COMPLETED,84.0,150.0,Cash,3.0,2026-01-30 20:23:34,2026-06-24 07:02:14,144.0
40,7,2,Abigail Shaffer,749593103,abigailshaffer@gmail.com,COMPLETED,85.0,220.0,Transfer,5.0,2026-02-25 07:30:36,2026-07-03 14:02:21,128.0
40,7,2,Abigail Shaffer,749593103,abigailshaffer@gmail.com,COMPLETED,85.0,220.0,Transfer,5.0,2026-02-25 07:30:36,2026-07-03 14:02:21,128.0
45,4,1,Daniel Wagner,740265423,danielwagner@gmail.com,COMPLETED,86.0,150.0,Transfer,2.0,2026-03-07 01:33:54,2026-08-01 18:39:11,147.0
45,4,1,Daniel Wagner,740265423,danielwagner@gmail.com,COMPLETED,86.0,150.0,Transfer,2.0,2026-03-07 01:33:54,2026-08-01 18:39:11,147.0
47,14,3,Michele Williams,763287101,michelewilliams@gmail.com,COMPLETED,87.0,300.0,Cash,1.0,2026-02-02 13:53:36,2026-07-29 16:05:08,177.0
47,14,3,Michele Williams,763287101,michelewilliams@gmail.com,COMPLETED,87.0,300.0,Cash,1.0,2026-02-02 13:53:36,2026-07-29 16:05:08,177.0
49,9,1,Gabrielle Davis,725534192,gabrielledavis@gmail.com,COMPLETED,88.0,150.0,Transfer,3.0,2026-01-29 02:38:42,2026-08-03 20:26:00,186.0
49,9,1,Gabrielle Davis,725534192,gabrielledavis@gmail.com,COMPLETED,88.0,150.0,Transfer,3.0,2026-01-29 02:38:42,2026-08-03 20:26:00,186.0
51,2,3,Noah Rhodes,839600133,noahrhodes@gmail.com,COMPLETED,89.0,300.0,Transfer,3.0,2026-02-18 22:10:56,2026-07-06 00:54:03,137.0
51,2,3,Noah Rhodes,839600133,noahrhodes@gmail.com,COMPLETED,89.0,300.0,Transfer,3.0,2026-02-18 22:10:56,2026-07-06 00:54:03,137.0
57,8,3,Gina Moore,741316475,ginamoore@gmail.com,COMPLETED,90.0,300.0,Card,1.0,2026-02-12 14:04:08,2026-06-23 12:26:54,130.0
57,8,3,Gina Moore,741316475,ginamoore@gmail.com,COMPLETED,90.0,300.0,Card,1.0,2026-02-12 14:04:08,2026-06-23 12:26:54,130.0
58,47,1,John Pierce,726204505,johnpierce@gmail.com,COMPLETED,24.0,150.0,Transfer,5.0,2026-02-18 13:21:01,2026-02-20 13:43:07,2.0
58,47,1,John Pierce,726204505,johnpierce@gmail.com,COMPLETED,24.0,150.0,Transfer,5.0,2026-02-18 13:21:01,2026-02-20 13:43:07,2.0
58,47,1,John Pierce,726204505,johnpierce@gmail.com,COMPLETED,91.0,150.0,Transfer,5.0,2026-02-18 13:21:01,2026-07-20 01:09:32,151.0
58,47,1,John Pierce,726204505,johnpierce@gmail.com,COMPLETED,91.0,150.0,Transfer,5.0,2026-02-18 13:21:01,2026-07-20 01:09:32,151.0
61,17,2,Holly Wood,761462704,hollywood@gmail.com,COMPLETED,92.0,220.0,Cash,1.0,2026-01-31 06:22:40,2026-08-13 07:38:21,194.0
61,17,2,Holly Wood,761462704,hollywood@gmail.com,COMPLETED,92.0,220.0,Cash,1.0,2026-01-31 06:22:40,2026-08-13 07:38:21,194.0
62,36,1,Jeffrey Chavez,832191361,jeffreychavez@gmail.com,COMPLETED,93.0,150.0,Card,2.0,2026-02-27 08:47:08,2026-08-03 21:24:16,157.0
62,36,1,Jeffrey Chavez,832191361,jeffreychavez@gmail.com,COMPLETED,93.0,150.0,Card,2.0,2026-02-27 08:47:08,2026-08-03 21:24:16,157.0
63,50,3,Eric Carney,734216073,ericcarney@gmail.com,COMPLETED,94.0,300.0,Card,1.0,2026-02-17 10:45:10,2026-08-05 10:07:59,168.0
63,50,3,Eric Carney,734216073,ericcarney@gmail.com,COMPLETED,94.0,300.0,Card,1.0,2026-02-17 10:45:10,2026-08-05 10:07:59,168.0
72,26,3,Judy Baker,838347382,judybaker@gmail.com,COMPLETED,28.0,300.0,Cash,3.0,2026-03-21 14:24:20,2026-03-23 14:46:26,2.0
72,26,3,Judy Baker,838347382,judybaker@gmail.com,COMPLETED,28.0,300.0,Cash,3.0,2026-03-21 14:24:20,2026-03-23 14:46:26,2.0
72,26,3,Judy Baker,838347382,judybaker@gmail.com,COMPLETED,95.0,300.0,Cash,3.0,2026-03-21 14:24:20,2026-06-26 04:46:02,96.0
