booking_id,customer_id,service_id,customer_name,phone,email,payment_status,payment_id,payment_amount,payment_method,customer_rating,scheduled_date,payment_date
1,39,3,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,COMPLETED,1.0,300.0,Transfer,3.0,2026-02-01 06:26:51,2026-02-02 06:48:57
2,29,3,Zachary Hicks,0761333872,zacharyhicks@gmail.com,CANCELLED,,,,,2026-01-23 21:18:24,
3,15,2,Dylan Miller,0722691669,dylanmiller@gmail.com,CANCELLED,,,,,2026-02-17 03:53:32,
4,43,1,Sherry Decker,0724493534,sherrydecker@gmail.com,CANCELLED,,,,,2026-02-14 05:40:00,
5,8,1,Gina Moore,0741316475,ginamoore@gmail.com,COMPLETED,2.0,150.0,Cash,5.0,2026-02-12 03:08:46,2026-02-13 03:30:52
6,21,2,Margaret Hawkins DDS,0831718227,margaretdds@gmail.com,COMPLETED,3.0,220.0,Transfer,2.0,2026-02-04 00:10:27,2026-02-05 00:32:33
7,39,1,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,CANCELLED,,,,,2026-01-31 09:51:30,
8,19,2,Lisa Jackson,0762880957,lisajackson@gmail.com,CANCELLED,,,,,2026-03-15 09:49:25,
9,23,2,Ethan Adams,0746578713,ethanadams@gmail.com,COMPLETED,4.0,220.0,Cash,3.0,2026-01-29 21:36:34,2026-01-29 21:58:40
10,11,3,Monica Herrera,0823056413,monicaherrera@gmail.com,CANCELLED,,,,,2026-03-19 18:58:29,
11,11,2,Monica Herrera,0823056413,monicaherrera@gmail.com,PENDING,,,,,2026-03-03 10:10:35,
12,24,3,Tommy Walter,0731509839,tommywalter@gmail.com,COMPLETED,5.0,300.0,Cash,5.0,2026-01-24 13:05:11,2026-01-26 13:27:17
13,36,1,Jeffrey Chavez,0832191361,jeffreychavez@gmail.com,CANCELLED,,,,,2026-01-24 08:27:36,
14,40,1,Brittany Farmer,0831838425,brittanyfarmer@gmail.com,COMPLETED,6.0,150.0,Transfer,1.0,2026-01-30 13:21:11,2026-01-30 13:43:17
15,24,1,Tommy Walter,0731509839,tommywalter@gmail.com,PENDING,,,,,2026-02-11 16:29:27,
16,3,1,Angie Henderson,0828386379,angiehenderson@gmail.com,COMPLETED,7.0,150.0,Cash,2.0,2026-02-13 01:10:00,2026-02-15 01:32:06
17,22,3,Patty Perez,0724896383,pattyperez@gmail.com,COMPLETED,8.0,300.0,Transfer,2.0,2026-03-11 12:35:26,2026-03-11 12:57:32
18,2,1,Noah Rhodes,0839600133,noahrhodes@gmail.com,COMPLETED,9.0,150.0,Cash,2.0,2026-03-20 21:49:58,2026-03-22 22:12:04
19,24,2,Tommy Walter,0731509839,tommywalter@gmail.com,COMPLETED,10.0,220.0,Cash,3.0,2026-01-24 00:51:38,2026-01-24 01:13:44
20,44,2,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,PENDING,,,,,2026-03-16 22:49:23,
21,30,2,Anthony Rodriguez,0782473178,anthonyrodriguez@gmail.com,COMPLETED,11.0,220.0,Card,5.0,2026-02-09 18:21:10,2026-02-10 18:43:16
22,38,3,Cassandra Gaines,0764353462,cassandragaines@gmail.com,COMPLETED,12.0,300.0,Card,5.0,2026-03-15 08:49:59,2026-03-15 09:12:05
23,2,1,Noah Rhodes,0839600133,noahrhodes@gmail.com,CANCELLED,,,,,2026-03-03 04:34:46,
24,21,1,Margaret Hawkins DDS,0831718227,margaretdds@gmail.com,COMPLETED,13.0,150.0,Transfer,1.0,2026-02-11 20:41:28,2026-02-13 21:03:34
25,33,1,Tricia Valencia,0784746872,triciavalencia@gmail.com,CANCELLED,,,,,2026-03-06 01:45:37,
26,12,3,Jamie Arnold,0763767242,jamiearnold@gmail.com,PENDING,,,,,2026-03-19 16:06:57,
27,22,2,Patty Perez,0724896383,pattyperez@gmail.com,PENDING,,,,,2026-02-17 11:15:31,
28,44,2,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,PENDING,,,,,2026-01-22 02:10:14,
29,25,1,Matthew Foster,0730103105,matthewfoster@gmail.com,PENDING,,,,,2026-02-05 23:03:38,
30,49,2,Joshua Blair,0732260256,joshuablair@gmail.com,CANCELLED,,,,,2026-03-03 11:47:25,
31,27,2,Justin Baker,0793763116,justinbaker@gmail.com,COMPLETED,14.0,220.0,Card,1.0,2026-02-23 11:52:07,2026-02-23 12:14:13
32,42,3,Fred Smith,0828412411,fredsmith@gmail.com,PENDING,,,,,2026-02-17 10:30:52,
33,28,3,Stephanie Ross,0766670106,stephanieross@gmail.com,COMPLETED,15.0,300.0,Transfer,2.0,2026-02-05 13:19:15,2026-02-05 13:41:21
34,16,3,Brian Ramirez,0798480184,brianramirez@gmail.com,CANCELLED,,,,,2026-02-11 08:44:41,
35,15,3,Dylan Miller,0722691669,dylanmiller@gmail.com,CANCELLED,,,,,2026-02-23 03:20:58,
36,47,1,John Pierce,0726204505,johnpierce@gmail.com,CANCELLED,,,,,2026-01-31 09:11:40,
37,44,3,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,PENDING,,,,,2026-01-30 11:08:27,
38,3,2,Angie Henderson,0828386379,angiehenderson@gmail.com,COMPLETED,16.0,220.0,Card,1.0,2026-02-27 08:19:20,2026-02-27 08:41:26
39,37,1,Sherri Baker,0739909169,sherribaker@gmail.com,COMPLETED,17.0,150.0,Cash,3.0,2026-01-30 20:23:34,2026-01-31 20:45:40
40,7,2,Abigail Shaffer,0749593103,abigailshaffer@gmail.com,COMPLETED,18.0,220.0,Transfer,5.0,2026-02-25 07:30:36,2026-02-25 07:52:42
41,21,2,Margaret Hawkins DDS,0831718227,margaretdds@gmail.com,CANCELLED,,,,,2026-02-23 20:30:08,
42,9,2,Gabrielle Davis,0725534192,gabrielledavis@gmail.com,PENDING,,,,,2026-03-21 01:48:40,
43,39,3,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,CANCELLED,,,,,2026-02-16 03:24:20,
44,18,3,Derek Zuniga,0728148932,derekzuniga@gmail.com,CANCELLED,,,,,2026-01-25 16:16:27,
45,4,1,Daniel Wagner,0740265423,danielwagner@gmail.com,COMPLETED,19.0,150.0,Transfer,2.0,2026-03-07 01:33:54,2026-03-08 01:56:00
46,25,1,Matthew Foster,0730103105,matthewfoster@gmail.com,CANCELLED,,,,,2026-03-14 12:31:46,
47,14,3,Michele Williams,0763287101,michelewilliams@gmail.com,COMPLETED,20.0,300.0,Cash,1.0,2026-02-02 13:53:36,2026-02-03 14:15:42
48,50,2,Eric Carney,0734216073,ericcarney@gmail.com,PENDING,,,,,2026-02-27 05:04:35,
