"","booking_id","customer_id","service_id","customer_name","phone","email","payment_status","payment_id","payment_amount","payment_method","customer_rating","scheduled_date","payment_date","delay_days","day_type"
"1",1,39,3,"Elizabeth Fowler",747510799,"elizabethfowler@gmail.com","COMPLETED",1,300,"Transfer",3,2026-02-01,2026-02-02,1,"weekday"
"2",1,39,3,"Elizabeth Fowler",747510799,"elizabethfowler@gmail.com","COMPLETED",1,300,"Transfer",3,2026-02-01,2026-02-02,1,"weekday"
"3",1,39,3,"Elizabeth Fowler",747510799,"elizabethfowler@gmail.com","COMPLETED",68,300,"Transfer",3,2026-02-01,2026-06-28,147,"weekend"
"4",1,39,3,"Elizabeth Fowler",747510799,"elizabethfowler@gmail.com","COMPLETED",68,300,"Transfer",3,2026-02-01,2026-06-28,147,"weekend"
"8",5,8,1,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",2,150,"Cash",5,2026-02-12,2026-02-13,1,"weekday"
"9",5,8,1,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",2,150,"Cash",5,2026-02-12,2026-02-13,1,"weekday"
"10",5,8,1,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",69,150,"Cash",5,2026-02-12,2026-07-28,166,"weekday"
"11",5,8,1,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",69,150,"Cash",5,2026-02-12,2026-07-28,166,"weekday"
"12",6,21,2,"Margaret Hawkins DDS",831718227,"margaretdds@gmail.com","COMPLETED",3,220,"Transfer",2,2026-02-04,2026-02-05,1,"weekday"
"13",6,21,2,"Margaret Hawkins DDS",831718227,"margaretdds@gmail.com","COMPLETED",3,220,"Transfer",2,2026-02-04,2026-02-05,1,"weekday"
"14",6,21,2,"Margaret Hawkins DDS",831718227,"margaretdds@gmail.com","COMPLETED",70,220,"Transfer",2,2026-02-04,2026-08-02,179,"weekend"
"15",6,21,2,"Margaret Hawkins DDS",831718227,"margaretdds@gmail.com","COMPLETED",70,220,"Transfer",2,2026-02-04,2026-08-02,179,"weekend"
"18",9,23,2,"Ethan Adams",746578713,"ethanadams@gmail.com","COMPLETED",4,220,"Cash",3,2026-01-29,2026-01-29,0,"weekday"
"19",9,23,2,"Ethan Adams",746578713,"ethanadams@gmail.com","COMPLETED",4,220,"Cash",3,2026-01-29,2026-01-29,0,"weekday"
"20",9,23,2,"Ethan Adams",746578713,"ethanadams@gmail.com","COMPLETED",71,220,"Cash",3,2026-01-29,2026-06-23,145,"weekday"
"21",9,23,2,"Ethan Adams",746578713,"ethanadams@gmail.com","COMPLETED",71,220,"Cash",3,2026-01-29,2026-06-23,145,"weekday"
